QuestionId,ClusterId
1,19
2,19
3,6
3,12
3,19
4,12
4,19
5,6
5,6
5,12
5,19
6,12
6,19
7,19
8,1
8,12
8,19
9,1
9,1
10,19
11,19
12,12
12,19
13,19
14,19
14,19
15,19
16,6
16,10
16,19
17,19
18,12
18,19
19,1
19,1
19,12
19,19
20,19
21,19
21,10
21,12
21,19
22,12
22,19
23,19
23,19
24,19
25,12
25,19
26,19
27,19
28,19
30,6
30,19
31,19
32,12
32,19
34,19
35,12
35,19
35,6
35,10
35,12
35,19
36,19
36,19
37,12
38,19
39,1
39,1
39,19
40,1
40,19
41,19
42,12
42,19
43,6
43,10
43,12
43,19
44,7
44,10
44,19
45,19
45,6
45,19
46,19
47,19
48,1
48,6
48,19
50,1
50,6
50,10
50,12
50,19
51,19
51,12
51,19
52,1
52,19
54,6
54,6
55,6
55,19
56,12
56,19
57,12
57,19
58,12
58,19
58,20
59,12
59,19
60,12
60,12
60,19
61,6
61,6
61,12
61,19
62,19
62,19
63,12
63,19
63,19
64,12
64,19
65,12
65,19
66,19
66,19
67,19
68,19
68,19
69,6
69,19
69,6
69,19
70,19
70,1
70,2
70,3
70,4
70,5
70,8
70,9
70,10
70,11
70,14
70,16
70,17
70,18
70,19
71,19
72,12
72,19
73,12
73,1
73,2
73,7
73,10
73,12
73,19
74,19
75,12
75,12
75,19
76,12
76,19
77,19
78,12
78,19
79,19
79,19
80,19
81,19
81,19
82,19
83,1
83,12
83,19
84,12
84,19
85,6
85,19
86,12
86,19
87,19
88,10
88,19
89,12
89,19
90,12
90,19
91,12
91,19
92,1
92,19
93,19
94,19
95,12
95,19
96,12
96,19
97,19
98,19
99,12
99,19
100,19
101,19
101,19
102,19
103,19
105,1
105,19
105,20
106,12
106,12
106,19
107,19
108,12
108,19
109,19
109,19
110,12
110,19
111,12
111,1
111,12
111,19
112,19
112,19
113,19
114,12
114,19
114,12
114,19
115,19
115,19
116,12
116,19
117,19
117,6
117,19
118,1
118,1
118,12
119,19
120,19
121,6
121,10
121,12
121,19
122,1
122,19
123,19
123,19
124,19
124,20
124,20
125,1
125,6
125,12
125,19
126,19
128,19
129,10
129,12
129,19
130,19
131,12
131,12
131,19
132,4
132,19
133,2
133,3
133,4
133,5
133,8
133,9
133,10
133,11
133,14
133,16
133,17
133,18
133,10
133,12
133,19
134,6
134,19
135,19
135,19
136,12
136,19
137,12
137,19
139,6
139,12
139,19
140,19
141,6
141,12
141,19
142,19
143,19
144,19
144,19
145,19
146,6
146,19
147,1
147,19
148,6
148,19
149,19
150,1
150,6
150,10
150,12
150,19
151,12
151,19
153,12
153,19
154,19
154,19
155,12
155,7
155,10
155,12
155,19
156,12
157,19
158,19
158,1
158,12
158,19
159,12
159,19
160,2
160,3
160,4
160,5
160,8
160,9
160,10
160,11
160,14
160,16
160,17
160,18
161,19
161,6
161,12
161,19
162,19
162,12
162,19
163,6
163,12
163,19
164,12
164,19
165,19
166,19
167,12
167,19
168,19
169,10
169,1
169,10
169,12
169,19
170,12
171,19
172,12
172,19
173,19
174,19
175,12
175,19
176,12
176,12
177,19
177,19
178,12
178,19
179,17
179,19
180,1
180,10
180,12
180,19
181,12
181,19
182,19
183,12
183,19
184,19
185,10
185,12
185,19
186,19
187,19
188,19
188,19
189,19
189,19
